sonic,rmse_0-6h_tke,bias_0-6h_tke,rmse_6-12h_tke,bias_6-12h_tke,rmse_12-18h_tke,bias_12-18h_tke,rmse_18-24h_tke,bias_18-24h_tke
tnw01.2m,0.1723301249924007,0.1091267415466331,0.2222709044093964,0.1206846757868671,0.7941287773344353,0.624433676230211,0.5410871418636678,0.4618396685054865
tnw01.10m,0.175767763242017,0.0687750124568542,0.453180100216774,-0.2889232983337573,0.8997369094929119,0.4338337160086185,0.5852724978804953,0.1598181913902246
tnw01.20m,0.1801027798448561,0.0634082654350146,0.6613748420832755,-0.3935915293651221,0.7813068795979109,0.0869878349992306,0.7824477312220738,-0.0521934209790049
tnw02.2m,0.3231359110706018,0.2827146089437331,0.1627526269253151,0.0609857747646812,0.3827457144150141,0.2172976011622773,0.9325689027813754,0.886259952053283
tnw02.10m,0.1192825218753591,0.0342008990309167,0.3017382308560597,-0.2304447182224903,0.4412388227032505,-0.0879608915847671,0.6553131573528348,0.5224740836397459
tnw02.20m,0.1417657453814168,-0.0585819569693703,0.6461087775357357,-0.4663807455032938,0.7905301476902142,-0.53825394506494,0.469783543093029,0.098360279265586
tnw03.2m,0.5539182655904107,0.4374264536723462,0.2190875908770661,0.0762970948236385,0.8028575221212209,0.7667993845330808,0.6020909449259213,0.5639482722721038
tnw03.10m,0.1579624187565473,-0.0442248582408552,0.1160055679255004,-0.0818159503627033,0.3156426022212182,-0.1353885326333782,0.3697235438502819,0.1800522964852455
tnw04.2m,0.2598808040790662,0.1981787351415999,0.0639342730091793,0.027306389778692,0.3907337413938698,0.3069528528731485,0.4072587376626596,0.3753086677546151
tnw04.4m,0.2023222705493956,0.151817785998065,0.0703102261621254,-0.0006223012018842,0.2850876172115181,0.1615037134314634,0.3352990064796188,0.2693701216026498
tnw04.6m,0.1655785533373515,0.1160367140473398,0.0850957497140235,-0.0239363649322675,0.2686108916005328,0.0576989846123714,0.3080826724627205,0.1921291797758175
tnw04.8m,0.1412237811335148,0.0920335259716322,0.1011698060345115,-0.0399646261826489,0.2805558743163176,-0.0453872054199342,0.2789378595133648,0.1221000413229709
tnw04.10m,0.1255040021105598,0.0692721506043697,0.1192769273627482,-0.0483203294478026,0.3151231425666179,-0.1086669290085819,0.2750202324600642,0.0751929328118086
tnw04.12m,0.1108680947443279,0.0459358008769034,0.129984906400433,-0.0594213647563952,0.329836772359219,-0.1124212755763819,0.2738323766288208,0.0544422608174128
tnw04.20m,0.1094909247690638,0.0109640136154556,0.1155757498059276,-0.0593932857081357,0.4297297609058662,-0.2079376132056426,0.3058391110380966,-0.0292182245221609
tnw05.2m,0.2686866252542311,0.1955473266156445,,,,,0.4181306675017423,0.3862523451508077
tnw05.4m,0.2785506184404003,0.1905263768815566,,,,,0.3956100610418269,0.3498014609086852
tnw05.6m,0.289109905083416,0.1736053227985386,,,,,0.3702247809928577,0.2908621813746292
tnw05.8m,0.268857664109507,0.1451521595899458,,,,,0.3171606537795904,0.1907426249354637
tnw05.10m,0.2511208773565231,0.1189622614242113,,,,,0.2966869384274919,0.1180195437986295
tnw05.12m,0.2439997469338795,0.104576574016832,,,,,0.2890651618081934,0.0846258540187535
tnw05.20m,0.2175607219938849,0.0804116781944425,,,,,0.3238306231409726,-0.0381583307293059
tnw06.2m,0.2771551763404323,0.1943302751925843,0.1250202533678781,0.059816205252611,0.4322442187572127,0.2538086548013573,0.4024932187813081,0.3477576760087486
tnw06.4m,0.2658689151762431,0.1807641675479814,0.1212300895136744,0.014806435320598,0.4326647623246373,0.0816587845963139,0.3626003983714498,0.2646459564428395
tnw06.6m,0.2649331178668302,0.1715725990499041,0.129064280780781,-0.0059115166279292,0.4721931788549453,0.0099282367143233,0.3743577063077979,0.2163158913852012
tnw06.8m,0.2452198604347136,0.1489862443247356,0.1251520566493058,-0.0112388365821759,0.4886743056960715,-0.0316802996591102,0.3751797978582363,0.1664332009810336
tnw06.10m,0.2296316439133816,0.1237310528922329,0.1220928667571436,-0.0183020621240424,0.5353446175110296,-0.1207408012290511,0.390809512398407,0.1019730218596777
tnw06.12m,0.2220710174605386,0.1149842912121202,0.1223975481233978,-0.0268947375460374,0.5656817145906746,-0.1671323222050731,0.4052965658583531,0.0724795761946775
tnw06.20m,0.2121492822865949,0.0996644560921144,0.1201503785204994,-0.0403157402163742,0.5542179204576102,-0.1548281908523473,0.4186720664217111,0.0380137896748205
tnw07.4m,0.2385988961100801,0.160395662515103,0.195129380369125,0.1303718936705269,0.7508522222922243,0.5543986885745004,0.3454131268699748,0.2811610210929165
tnw07.6m,0.2300146775059535,0.1480532860910632,0.1882317156376527,0.1111915896795341,0.7858531573597416,0.5124477645981957,0.3328799501100641,0.2315974414542614
