sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tnw01.2m,104.06333641170956,-27.38726350271437,104.90791432420552,32.0202735171318,96.77762917645624,9.605361496257784,90.79962489635454,52.059524958795976
tnw01.10m,90.40006821199476,-3.0739123197181333,85.51944833097032,31.95928895512157,93.5815780632972,26.52216671863132,91.6074095835815,37.726414295461446
tnw01.20m,86.53309994085905,-6.294104309315149,74.605221559454,-6.435052908621893,91.51730491818182,2.623275644259984,86.37086063656598,43.15480320866903
tnw02.2m,74.69358923220162,-41.74257117602031,87.7915134736383,-44.52685056758457,60.10991502961627,42.36770254957412,85.3973764669889,79.61720995924206
tnw02.10m,45.1217136960184,8.972852095048959,92.87000140387832,-22.39946191816396,72.49687481601255,52.44968892690871,83.33409271356916,64.50355773332383
tnw02.20m,44.17400434153787,-9.94249676179673,70.44094723428519,-2.6707000877698257,100.87581773986308,42.30031500439114,90.7054129193673,74.87273721355861
tnw03.2m,71.9155725365338,-19.30448423813713,30.78041098055764,25.083661944633057,18.08296358538547,13.54384699045817,33.69947726682271,17.627696191914875
tnw03.10m,44.60199691652439,19.92756343553331,35.098148331629936,21.562296127986908,10.694028866945557,-3.372792385779487,34.408649794369374,-13.794630276637603
tnw04.2m,106.28557266105312,78.1312857167562,66.73100241778837,-52.03862298312717,68.04338014325427,-11.40295541864395,85.9076255390248,-3.2187605609448777
tnw04.4m,92.58537581415244,62.08090693664551,65.89148131224331,-36.43307169575161,71.09392181165994,-18.73130244554969,88.85914055996892,-26.489478099842074
tnw04.6m,83.49519161589329,47.73201930067274,69.0843604574886,-29.92729597386254,70.61111597915513,-31.35969066692087,88.18308546979105,-34.71360698850101
tnw04.8m,75.16617109940763,30.301069085439053,70.53839760054792,-21.38910202755397,64.90663707579436,-15.944240263612532,88.59604845762085,-38.94552628526157
tnw04.10m,74.88798504301073,25.89826086421544,71.95192868485977,-23.324366279665625,64.59103845810968,-27.24166430216048,90.6344956445054,-36.981534074362415
tnw04.12m,68.97871620610698,21.067103227339853,75.80317791509603,-4.340776113298202,65.76377644398005,-34.050517161201896,95.3293055315558,-20.56557510708067
tnw04.20m,55.52299344834359,7.919064949798589,68.16714217958403,6.347586710866294,53.9233292756146,-32.84536695994272,89.50123323395324,-31.51449113026089
tnw05.2m,90.98874892571672,58.56087777625192,,,,,88.1890735813377,20.9845532066875
tnw05.4m,93.02017972954094,61.100171238369406,,,,,94.8831751543686,30.2372433960006
