sonic,rmse_0-6h_vh,bias_0-6h_vh,rmse_6-12h_vh,bias_6-12h_vh,rmse_12-18h_vh,bias_12-18h_vh,rmse_18-24h_vh,bias_18-24h_vh
tnw01.2m,0.4930048794844669,0.1295292540381834,1.052899786858532,0.6556391211111346,0.9286408516725424,0.820500035762575,1.2762286353705186,1.2192439153624903
tnw01.10m,1.0787620234678474,0.7083578581241105,1.7445585744694223,1.2773383789232704,0.9397640641621294,0.4695000090814696,1.7107836622911945,1.5987259217605327
tnw01.20m,1.2143943073072878,0.7344771622212197,1.7702076799136572,1.4048351451658672,1.1505064143224917,-0.1612359996305042,1.7564572618703744,1.5763902082769077
tnw02.2m,1.4563053957825318,1.3666670455410412,1.0953633350155263,1.0003485354764727,0.6369726113246453,0.461772282616165,1.7697243996867114,1.681481264738732
tnw02.10m,2.162107047896864,1.9965278372753328,1.7453891769395753,1.5527490643567508,0.6575808827013208,0.4322014851963255,2.538916730541984,2.404536043328179
tnw02.20m,2.2232175447682074,1.9278595648577084,1.882548398073173,1.41379138106015,0.5534690181043935,-0.1145270726338492,2.298239504374468,2.111237812482781
tnw03.2m,2.388489156430051,2.137011866346412,1.0734552076120951,0.699703050473796,1.4825886976268223,1.3383757143931916,1.1868243338668738,1.066960440291166
tnw03.10m,2.57824890579232,2.111218142163621,1.3232500887629055,-0.5763381170052951,0.9225566003060048,0.6193985317940183,1.5913398203069031,1.2788019607440628
tnw04.2m,1.1874176515951729,0.8303871381024255,0.4208671431125335,0.13513725505707,0.9911082102282048,0.8751414002032281,1.3053612510917818,1.2429362815138232
tnw04.4m,1.457882030939352,1.1135230845398372,0.5072875267727305,0.3164132840052445,1.054212444642341,0.9273355950898196,1.4686415797160488,1.3678554773482348
tnw04.6m,1.6276538899594746,1.3035788702853253,0.5551700685117599,0.391107154820058,1.0869340745206086,0.9390224382388062,1.55581461901548,1.4199865635360611
tnw04.8m,1.7721557869834537,1.489041586331712,0.5450937460989459,0.3836101396632459,0.9927708278601558,0.8297804539656639,1.522260479854466,1.3416764093628857
tnw04.10m,1.840109494368744,1.5641187056013082,0.5347098637948573,0.3424165168444316,0.9996419589194512,0.8118928501382403,1.5200600349276827,1.3099962388953896
tnw04.12m,1.8761122227860496,1.6196370945072969,0.5758874087178693,0.3876680567771063,1.0215315205991518,0.8385471383989387,1.5060792547232773,1.2955412511590454
tnw04.20m,1.9049482378931737,1.630538244775527,0.6232891624426703,0.3054496167489158,1.0934743158302729,0.8293875219161246,1.3821697576366097,1.108177514408562
tnw05.2m,1.1765992164747472,1.0018004889027408,,,,,1.1704457007788571,1.1104914879983927
tnw05.4m,1.3180102088259713,1.114411394024902,,,,,1.3719765334816565,1.301671641872141
tnw05.6m,1.5285107985817403,1.270659068256643,,,,,1.5886632935586609,1.4857908441337744
tnw05.8m,1.462267954833953,1.0720446300179691,,,,,1.556041749110474,1.410270047782752
tnw05.10m,1.5819361148711533,1.2112979160447914,,,,,1.5690661098582126,1.4016722685630056
tnw05.12m,1.6791135470517595,1.3194944157192572,,,,,1.5524182010635306,1.3572924569344256
tnw05.20m,2.07975839616234,1.726603835240715,,,,,1.4519033131997403,1.2102972392447524
tnw06.2m,0.7042910808677345,0.5510983014290333,0.7466133638669341,0.6330531067522764,1.0849294660037965,0.8044211681184769,1.066550087090539,0.948830768671062
tnw06.4m,1.0626451429941066,0.8619342295518054,0.7610529094482317,0.5715793799200918,1.0700878713948738,0.6210417497559123,1.1834829267803182,1.015897621258868
tnw06.6m,1.5526138612901002,1.2581938360575569,0.8707215746947529,0.6330158085412979,1.1879353816673364,0.6362540144605636,1.371123352848117,1.1747553194536366
tnw06.8m,1.830844112660302,1.4861351159783531,0.8818673040343447,0.6070539388356208,1.15784364643545,0.5248765675544209,1.3929135628356963,1.189311938062509
tnw06.10m,2.084450125938057,1.690861503241175,0.9150511217037222,0.6148568335790436,1.165594057579215,0.420579176785575,1.3809547139765348,1.1701837856918706
tnw06.12m,2.202578381053659,1.7775269176706008,0.8998027457248282,0.5642688488737343,1.1694482805773607,0.408548867638429,1.3842451906233912,1.171818818410423
tnw06.20m,2.5020658968904184,2.002419740705841,0.9109913831061922,0.4579141782587104,1.2350317878991448,0.4488319720049434,1.363295448206825,1.1594895095394715
tnw07.4m,1.388625256844536,1.0996256997652183,1.015656919884554,0.8684433422625263,1.3514931770679914,1.090668953387075,1.326193907974849,1.2366630038348831
tnw07.6m,1.5615566554639688,1.1758721856423682,0.9948690216961288,0.791015682933847,1.4061561033623653,1.057820596812354,1.452137744088967,1.3337374369174904
tnw07.8m,1.6237736108154788,1.1392216342640715,0.8642178343522621,0.5831395222412216,1.3163580233736865,0.8418357225659687,1.4358072785366338,1.2723311085495683
tnw07.10m,1.6787777651367926,1.063655851613018,0.7535822789319286,0.3185127465565999,1.2552535999595655,0.632271964339998,1.444324628674576,1.2237011050673323
tnw07.12m,1.6997804682044084,1.0046706926821471,0.7241426339822464,0.1906396892821523,1.223729987959991,0.4257623053645556,1.4801288595927655,1.2363867880131667
tnw07.20m,1.7710733821807454,0.7692469986512395,0.8859044529263621,-0.4701064322768317,1.149420705125245,0.1406847125808927,1.436138411813782,1.1056408543960516
tnw07.30m,1.8594702798935043,0.7729024035698308,0.9297252159046082,-0.5728016751568051,1.0633312205725856,-0.133556227519989,1.366081475634516,1.024883184451845
tnw07.40m,1.951410812927416,0.9344498561205864,0.8233475162267432,-0.494997394082811,1.014383428038398,-0.3129309099622302,1.301789088980307,0.919636061053276
tnw07.60m,2.279807470977456,1.4040475846225946,0.6056975250258931,-0.2763281925367779,1.0921087204541806,-0.5008877165940073,1.2563450293630125,0.8223640731383295
tnw08.2m,1.0444656700557686,0.8641054059642884,0.412106923698036,0.2407628454840315,0.7228345931161362,0.5234648624459373,1.0205031585046562,0.8717052092542649
tnw08.10m,2.1103622058507567,1.81621531086276,0.7546671048102002,0.2692962601193587,0.7914936958661543,-0.0319573455286026,1.5011441354605797,1.1708474969170888
tnw08.20m,2.424577623969053,2.06110613415026,1.2184994920350212,0.0459284119742181,1.1220706856819982,-0.5955093340943655,1.5657560915320583,1.1700334024661911
tnw09.2m,0.5218286168615347,0.2270026220128801,0.6436288311998813,-0.0842710138223965,0.4187882301124891,0.197202282349295,0.5188105090324353,0.3894735138599077
tnw09.10m,1.8107714964080213,1.6081954580096405,1.1398353822890726,0.245831984938648,0.670356803268403,-0.037385514772839,1.1237969938323675,0.7994020922129419
