Easting,Northing,Z,sonic
33569.72,4006.8,19.79,!rsw03.20m
33569.85,4006.84,29.58,!rsw03.30m
33569.98,4006.89,40.13,!rsw03.40m
33570.16,4006.93,56.76,!rsw03.60m
33453.6,4169.17,9.92,!rsw04.10m
33195.8,4548.3,9.98,!rsw05.10m
33087.91,4686.07,10.3,!rsw06.10m
33087.93,4686.04,20.36,!rsw06.20m
33087.95,4686.05,30.21,!rsw06.30m
33087.99,4686.09,40.19,!rsw06.40m
33088.07,4686.09,57.15,!rsw06.60m
32822.84,5000.95,10.48,!rsw07.10m
32822.79,5000.9,20.37,!rsw07.20m
32734.34,5141.92,10.28,!rsw08.10m
32734.39,5141.88,20.31,!rsw08.20m
34886.81,4772.73,10.02,!rne01.10m
34737.43,4877.21,10.41,!rne02.10m
34737.48,4877.16,20.21,!rne02.20m
34630.65,5025.52,9.56,!rne03.10m
34414.87,5281.94,10.2,!rne04.10m
34178.25,5565.27,9.87,!rne06.10m
34178.3,5565.22,19.72,!rne06.20m
33886.53,5851.99,10.61,!rne07.10m
33886.6,5852.0,20.03,!rne07.20m
34575.05,4503.62,1.89,!v01.2m
34575.07,4503.54,9.92,!v01.10m
34235.99,4696.82,1.92,!v03.2m 
34235.97,4696.85,9.9,!v03.10m
33951.14,4978.78,2.09,!v04.2m
33951.14,4978.78,10.01,!v04.10m
33811.59,5125.8,2.27,!v05.2m
33814.75,5122.53,10.01,!v05.10m
33814.75,5122.56,20.02,!v05.20m
33704.27,5238.11,2.12,!v06.2m
33704.18,5238.12,10.0,!v06.10m
33704.35,5238.11,20.02,!v06.20m
33388.58,5457.11,2.08,!v07.2m
33388.62,5457.1,4.18,!v07.4m
33388.62,5457.11,5.92,!v07.6m
33388.62,5457.09,7.97,!v07.8m
33388.46,5457.21,9.92,!v07.10m
33388.62,5457.04,11.88,!v07.12m
33388.56,5457.11,20.01,!v07.20m
31630.72,3670.69,10.0,!Extreme_SW
34643.46,6174.68,9.4,!Extreme_NE
