,sonic,rmse_24h_vh,bias_24h_vh,rmse_24h_dir,bias_24h_dir,rmse_24h_tke,bias_24h_tke
0,tnw01.2m,0.9801511533300663,0.706228081568596,99.30424193271635,16.5744741173678,0.5006290635310104,0.32902119051729944
1,tnw01.10m,1.4157285543567508,1.013480541972346,90.32604499671987,23.28348941237405,0.5891385475647298,0.09337590538048503
2,tnw01.20m,1.5014323066508868,0.8886166290083725,84.98420314372913,8.262230408747993,0.6504841629990151,-0.07384721247747042
3,tnw02.2m,1.3094182677725519,1.1275672820931026,77.76952472320568,8.92887269130283,0.5355101014295708,0.3618144842309937
4,tnw02.10m,1.910471214613252,1.596503607539147,75.59956030643325,25.881659209279388,0.42702497375603865,0.05956734321585132
5,tnw02.20m,1.8758276503934128,1.3345904214416975,79.5560686629068,26.1399638420958,0.566389567952223,-0.24121409206800454
6,tnw03.2m,1.6173904737974383,1.3105127678761412,43.53714395053081,9.23768022221724,0.58350632477708,0.4611178013252923
7,tnw03.10m,1.716233617699883,0.8582701294241017,33.61374562336578,6.080609225275783,0.2620759282838326,-0.020344261187922822
8,tnw04.2m,1.0336045316881548,0.7709005187191368,83.30616925931056,2.8677366885100497,0.31231320803811224,0.22693666138701393
9,tnw04.4m,1.1885950339649618,0.931281860245784,80.41149125558529,-4.893236326124469,0.24473363188208963,0.1455173299575735
10,tnw04.6m,1.2805717279371562,1.0134237567200626,78.27241235836085,-12.067143582152921,0.22456863544520583,0.08548212837581529
11,tnw04.8m,1.2981269401094808,1.011027147330877,75.31226685041487,-11.494449872747259,0.21604248083073768,0.03219543392300501
12,tnw04.10m,1.3211532978350935,1.0071060778698424,76.11160291818885,-15.41232594799327,0.22633877440151218,-0.0031305437600515364
13,tnw04.12m,1.3382119366053749,1.0353483852105967,77.32518324707165,-9.472441288560228,0.23074026372455145,-0.017866144659615207
14,tnw04.20m,1.3344845903359581,0.9683882244622823,68.2783975078525,-12.523301607384681,0.2754774245735816,-0.07139627745512091
15,tnw05.2m,,,,,,
16,tnw05.4m,,,,,,
17,tnw05.6m,,,,,,
18,tnw05.8m,,,,,,
19,tnw05.10m,,,,,,
20,tnw05.12m,,,,,,
21,tnw05.20m,,,,,,
22,tnw06.2m,0.9176135455858664,0.7343508362427121,73.28317063380372,-29.27150365000645,0.3321448898216092,0.2139282028138253
23,tnw06.4m,1.0312778628230492,0.7676132451216695,71.71573660329223,-23.622945549880132,0.31782890842285527,0.13546883597693324
24,tnw06.6m,1.2708201665314063,0.9255547446282638,72.97582177475756,-15.613577992555562,0.3353942590240902,0.09797630263037489
25,tnw06.8m,1.3611107789146208,0.951844390107726,74.10855577956887,-9.370670532472861,0.3374011985024861,0.06812507726612074
26,tnw06.10m,1.4532632514424575,0.974120324824416,72.91305867155465,-5.908447946014138,0.35600677468218594,0.021665302849704294
27,tnw06.12m,1.4953879542286204,0.9805408631482968,73.41104742055083,-10.869409343688751,0.3703234414337682,-0.0016407980860782205
28,tnw06.20m,1.6181870294173808,1.0171638501272418,72.23491315867618,-17.95767946504765,0.36806495146628676,-0.014366421325446665
29,tnw07.4m,1.279175825684928,1.0738502498124256,80.45066694542616,26.92463574583928,0.44104823892728917,0.2815818164632617
30,tnw07.6m,1.3706022921863086,1.089611475576515,81.61539336649139,28.55578085506757,0.45186064686958954,0.2508225204557637
31,tnw07.8m,1.3395758835534763,0.9591319969052077,82.68628918687757,25.594120208679303,0.4248457369987362,0.18741488828060487
32,tnw07.10m,1.3273955956162167,0.8095354168942371,84.74887197890766,19.607242161833412,0.4083723347402833,0.12499793413196883
33,tnw07.12m,1.3324725812255842,0.7143648688355055,87.11720366915014,19.783950640132694,0.40408142916976486,0.06820958712716527
34,tnw07.20m,1.351405668187899,0.38636653333783805,87.58129269245586,23.938061082167096,0.40249263016486697,0.035467219880595056
35,tnw07.30m,1.3526705605590241,0.2728569213362203,87.90839288682177,19.954211559263864,0.40734756220096746,0.00604379785961906
36,tnw07.40m,1.342528758030335,0.26153940328220526,90.6797959463922,22.294454450019202,0.4248492443087808,-0.024119401618565805
37,tnw07.60m,1.4435629434358184,0.36229893715753475,88.15947892946166,12.831891133703127,0.45035896281559107,-0.027711109582618736
38,tnw08.2m,0.8403358254305617,0.6250095807871305,78.96817408749399,20.21583071489467,0.3883001046782763,0.22154631526825774
39,tnw08.10m,1.4056179303947995,0.806100430592651,94.55817905439652,18.557893951386877,0.45294408338825554,0.08886310148525332
40,tnw08.20m,1.663877431526857,0.670389653624076,96.13664668260704,22.44431168159909,0.4508894801159175,0.036602823934439824
41,tnw09.2m,0.5317685360404923,0.1823518510999216,94.26111034692136,20.830386223933512,0.35429019998052225,0.17550948668442862
42,tnw09.10m,1.2540350910118823,0.6540110050970978,82.33200156566855,20.985634631865555,0.4475692044122005,0.04913180545804464
43,tnw10.10m,1.3698009300581133,1.01880514181603,65.21503875584905,-3.98548625029524,0.35490467762842776,-0.014242154340101546
44,tnw10.20m,1.4013565027424189,0.7906199504535031,57.04468948532481,0.7198070050501172,0.4708718147633498,-0.17896982654938115
45,tnw10.30m,1.4495661484182012,0.7123437783494592,52.155762784021405,1.9192154346435606,0.4067661868462462,-0.12407645603706058
46,tnw10.40m,1.5399564103014867,0.7400772247493929,44.50904370653205,0.6567875906133638,0.36072802500052936,-0.09928825896779211
47,tnw10.60m,1.6441437119521343,0.6962231637695596,41.85499446976881,2.0870840898124388,0.343028565004085,-0.10104333893449263
48,tnw11.2m,1.7786211659451356,1.6044836392282247,40.189903924008,-4.79328857746919,0.4813415477215895,0.3822957451957173
