sonic,rmse_24h_vh,bias_24h_vh,rmse_24h_dir,bias_24h_dir,rmse_24h_tke,bias_24h_tke
tnw01.2m,0.9801511533300664,0.706228081568596,99.30424193271637,16.5744741173678,0.5006290635310104,0.3290211905172994
tnw01.10m,1.4157285543567508,1.013480541972346,90.32604499671989,23.28348941237405,0.5891385475647298,0.093375905380485
tnw01.20m,1.5014323066508868,0.8886166290083725,84.98420314372913,8.262230408747993,0.6504841629990151,-0.0738472124774704
tnw02.2m,1.309418267772552,1.1275672820931026,77.76952472320568,8.92887269130283,0.5355101014295708,0.3618144842309937
tnw02.10m,1.910471214613252,1.596503607539147,75.59956030643325,25.881659209279388,0.4270249737560386,0.0595673432158513
tnw02.20m,1.8758276503934128,1.3345904214416977,79.5560686629068,26.1399638420958,0.566389567952223,-0.2412140920680045
tnw03.2m,1.6173904737974385,1.3105127678761412,43.53714395053081,9.23768022221724,0.58350632477708,0.4611178013252923
tnw03.10m,1.716233617699883,0.8582701294241017,33.61374562336578,6.080609225275783,0.2620759282838326,-0.0203442611879228
tnw04.2m,1.0336045316881548,0.7709005187191368,83.30616925931056,2.8677366885100497,0.3123132080381122,0.2269366613870139
tnw04.4m,1.1885950339649618,0.931281860245784,80.41149125558529,-4.893236326124469,0.2447336318820896,0.1455173299575735
tnw04.6m,1.2805717279371562,1.0134237567200626,78.27241235836085,-12.06714358215292,0.2245686354452058,0.0854821283758152
tnw04.8m,1.2981269401094808,1.011027147330877,75.31226685041487,-11.49444987274726,0.2160424808307376,0.032195433923005
tnw04.10m,1.3211532978350935,1.0071060778698424,76.11160291818885,-15.41232594799327,0.2263387744015121,-0.0031305437600515
tnw04.12m,1.3382119366053749,1.035348385210597,77.32518324707165,-9.472441288560228,0.2307402637245514,-0.0178661446596152
tnw04.20m,1.334484590335958,0.9683882244622825,68.2783975078525,-12.52330160738468,0.2754774245735816,-0.0713962774551209
tnw05.2m,,,,,,
tnw05.4m,,,,,,
tnw05.6m,,,,,,
tnw05.8m,,,,,,
tnw05.10m,,,,,,
tnw05.12m,,,,,,
tnw05.20m,,,,,,
tnw06.2m,0.9176135455858664,0.7343508362427121,73.28317063380372,-29.27150365000645,0.3321448898216092,0.2139282028138253
