,basetime,time,u,v,w,vh,dir,uu,vv,ww,uv,uw,vw,tke,ti,tih
2017-05-14 00:02:30,1494720000,150,1.8020615577697754,0.5448994040489197,0.08540666848421097,1.8869125843048096,253.17596435546875,0.05921949818730354,0.018998170271515846,0.010686132125556469,0.0120608014985919,0.003868334461003542,-0.0012537582078948617,0.04445190029218793,0.09134511797269129,0.08576775512747181
2017-05-14 00:07:30,1494720000,450,1.778019666671753,0.647864818572998,0.13864219188690186,1.8957773447036743,249.97955322265625,0.06408791989088058,0.013703740201890469,0.008912061341106892,0.011735779233276844,0.004273934755474329,0.0016018355963751674,0.04335186071693897,0.08959600189339806,0.08509395584795738
2017-05-14 00:12:30,1494720000,750,1.8380756378173828,0.7027488350868225,0.0968753844499588,1.9738637208938599,249.07672119140625,0.03630515933036804,0.022420134395360947,0.012247893027961254,0.0009685710538178682,0.004060175735503435,0.00132234045304358,0.03548659337684512,0.07806781563254228,0.0710989358770156
2017-05-14 00:17:30,1494720000,1050,2.0243887901306152,0.6478311419487,0.1102108359336853,2.1317741870880127,252.254638671875,0.03403357416391373,0.02464209869503975,0.010938226245343685,-0.0013653323985636234,-0.0012173339491710067,-0.0036290062125772238,0.03480694955214858,0.07157133759939409,0.06579656500754892
2017-05-14 00:22:30,1494720000,1350,1.976275086402893,0.8306881189346313,0.1316147744655609,2.155830144882202,247.20150756835938,0.08399795740842819,0.03587256744503975,0.014246726408600807,-0.010452990420162678,0.00553117273375392,-0.0019645821303129196,0.06705862563103437,0.09844385898754121,0.0932436914626266
2017-05-14 00:27:30,1494720000,1650,1.906265139579773,0.8725364804267883,0.1959644854068756,2.104191541671753,245.40545654296875,0.03967059403657913,0.039896395057439804,0.013975723646581173,0.009775185026228428,-0.003949401900172234,-0.004806074313819408,0.046771356370300055,0.08386246585752594,0.07768159949556598
2017-05-14 00:32:30,1494720000,1950,1.444723129272461,1.1112139225006104,0.03257918730378151,1.8501418828964233,232.43418884277344,0.10379961878061295,0.10238432139158249,0.08321819454431534,0.0023750595282763243,0.03184187412261963,-0.038795989006757736,0.1447010673582554,0.17038041145218358,0.14383533312847108
2017-05-14 00:37:30,1494720000,2250,1.770488977432251,2.0219814777374268,0.24399177730083466,2.7123475074768066,221.2060546875,0.08465052396059036,0.27349182963371277,0.05105619132518768,0.040602587163448334,-0.0037455332931131124,-0.008532537147402763,0.2045992724597454,0.1368560529672831,0.12856039403424385
2017-05-14 00:42:30,1494720000,2550,1.0630204677581787,2.0715646743774414,0.16784708201885223,2.370465040206909,207.16456604003906,0.17712809145450592,0.13485684990882874,0.0749521553516388,-0.03623251989483833,-0.005148422438651323,-0.032619427889585495,0.19346854835748672,0.15384331314349617,0.1385003130042682
2017-05-14 00:47:30,1494720000,2850,0.7198079824447632,2.683716058731079,0.24808301031589508,2.7899746894836426,195.0141143798828,0.05639492720365524,0.09929192066192627,0.019030166789889336,-0.005058551672846079,-0.015390176326036453,0.0015519658336415887,0.08735850732773542,0.0865090101931205,0.08198678865529535
2017-05-14 00:52:30,1494720000,3150,0.7290932536125183,2.9873290061950684,0.2554842233657837,3.0864667892456055,193.71559143066406,0.0718039870262146,0.046032316982746124,0.027342820540070534,-0.002124974736943841,-0.017799749970436096,-0.0005767092807218432,0.07258956227451563,0.07129360034342926,0.06445132064277001
2017-05-14 00:57:30,1494720000,3450,0.9297307729721069,2.9096763134002686,0.31476283073425293,3.059436082839966,197.72027587890625,0.029434066265821457,0.07923850417137146,0.01505865529179573,0.008999294601380825,-0.002603566972538829,-0.004245792981237173,0.061865612864494324,0.06613483812192013,0.06230805498034395
2017-05-14 01:02:30,1494720000,3750,0.9975584745407104,2.607393741607666,0.33089014887809753,2.80021595954895,200.93626403808594,0.06776568293571472,0.1561962366104126,0.029618065804243088,0.05080399662256241,-6.704394036205485e-05,0.0024849912151694298,0.1267899926751852,0.10341838563440907,0.09787160481887217
2017-05-14 01:07:30,1494720000,4050,0.7834253907203674,2.6143007278442383,0.34683942794799805,2.7430365085601807,196.68185424804688,0.09205877780914307,0.0874980092048645,0.03206421434879303,0.03361176699399948,-0.003325566416606307,-0.013783153146505356,0.1058105006814003,0.09654068354310347,0.08964189234026054
2017-05-14 01:12:30,1494720000,4350,0.7491154670715332,2.2850117683410645,0.28306668996810913,2.419142723083496,198.15115356445312,0.09454385191202164,0.08788832277059555,0.02738138660788536,0.042130596935749054,-0.004880542401224375,-0.009386049583554268,0.10490678064525127,0.1092224155795749,0.10254961714376136
2017-05-14 01:17:30,1494720000,4650,0.806981086730957,2.3748717308044434,0.37195900082588196,2.5293099880218506,198.7677459716797,0.11443361639976501,0.08242198824882507,0.04195106029510498,-0.0012625794624909759,-0.006273073609918356,0.012605030089616776,0.11940333247184753,0.11126819214127122,0.10212812011977528
2017-05-14 01:22:30,1494720000,4950,0.8831217885017395,2.933098077774048,0.3760548532009125,3.0939137935638428,196.75643920898438,0.22690051794052124,0.1621612012386322,0.04048445448279381,0.06285716593265533,-0.003080690046772361,-0.01344133261591196,0.21477308683097363,0.12260997766751068,0.117565121199702
2017-05-14 01:27:30,1494720000,5250,0.9919057488441467,2.9843697547912598,0.502605140209198,3.1545376777648926,198.38510131835938,0.06342680752277374,0.07058221101760864,0.03108144737780094,0.007248351816087961,-0.002722267061471939,0.003187824273481965,0.08254523295909166,0.0736577059820944,0.06720487512210538
