,basetime,time,u,v,w,vh,dir,uu,vv,ww,uv,uw,vw,tke,ti,tih
2017-05-14 00:02:30,1494720000,150,1.6312751770019531,1.4714241027832031,0.2073124498128891,2.204712152481079,227.9492645263672,0.03661947324872017,0.026167485862970352,0.015346288681030273,-0.0029840273782610893,-0.002042130334302783,-0.0013863551430404186,0.0390666238963604,0.07313610082585686,0.06585273213023288
2017-05-14 00:07:30,1494720000,450,1.4942244291305542,1.3320012092590332,0.2102326899766922,2.006361246109009,228.28512573242188,0.030095187947154045,0.010322759859263897,0.00786356721073389,0.0014496608637273312,-0.000555611215531826,-0.002713398542255163,0.024140757508575916,0.06302917736822483,0.05798563463557163
2017-05-14 00:12:30,1494720000,750,1.5373092889785767,1.1027941703796387,0.25058817863464355,1.897441029548645,234.34609985351562,0.03630771487951279,0.011314816772937775,0.008560089394450188,-0.000812405429314822,0.006380193401128054,-2.384144318057224e-05,0.028091310523450375,0.07170581000065386,0.06659413092611267
2017-05-14 00:17:30,1494720000,1050,2.047288179397583,1.3682730197906494,0.3649190664291382,2.4672834873199463,236.24383544921875,0.019225629046559334,0.025361940264701843,0.007539766374975443,-0.00020284017955418676,0.005206754431128502,-0.0030533201061189175,0.02606366784311831,0.0529530517919033,0.04950880383514708
2017-05-14 00:22:30,1494720000,1350,2.1378183364868164,1.557468295097351,0.3351038992404938,2.65151309967041,233.92547607421875,0.013047317042946815,0.04538828879594803,0.009540555067360401,0.0005569288041442633,0.0004845393996220082,-0.0056806704960763454,0.03398808045312762,0.056459334044089385,0.05276598286402518
2017-05-14 00:27:30,1494720000,1650,1.8113106489181519,1.5470422506332397,0.2841421961784363,2.386575698852539,229.49932861328125,0.048348333686590195,0.03683429956436157,0.01110095251351595,0.02105717733502388,0.0019362394232302904,0.0016006293008103967,0.04814179288223386,0.07467852822584814,0.07073968468301549
2017-05-14 00:32:30,1494720000,1950,1.354472279548645,1.7370495796203613,0.2963220775127411,2.2159624099731445,217.9454803466797,0.05760010704398155,0.04980297014117241,0.013374567031860352,-0.005392368417233229,-0.005127723328769207,-0.007745671551674604,0.060388822108507156,0.09027769563410372,0.08589941085755907
2017-05-14 00:37:30,1494720000,2250,0.9841805100440979,1.9232702255249023,0.19483524560928345,2.1888699531555176,207.09983825683594,0.17263320088386536,0.06707891076803207,0.027918433770537376,0.04121420532464981,0.02713889256119728,-0.0014468628214672208,0.1338152727112174,0.13769001858347465,0.13083938474314652
2017-05-14 00:42:30,1494720000,2550,-0.009226033464074135,1.8096277713775635,0.07926278561353683,1.8274070024490356,179.7078857421875,0.061134323477745056,0.08799798786640167,0.03191410005092621,-0.010831838473677635,0.003716715145856142,-0.017407013103365898,0.09052320569753647,0.13561984725554366,0.12320557229820626
2017-05-14 00:47:30,1494720000,2850,0.3447132110595703,2.1440110206604004,0.12175492942333221,2.19881534576416,189.13381958007812,0.11487758904695511,0.15916934609413147,0.06087639555335045,0.011111835949122906,0.013040326535701752,-0.03536424785852432,0.1674616653472185,0.15362487647482537,0.13918194024385555
2017-05-14 00:52:30,1494720000,3150,0.34419727325439453,2.4133477210998535,0.10801704227924347,2.478564739227295,188.11691284179688,0.20502668619155884,0.19246350228786469,0.05696214362978935,0.036429159343242645,0.02186235599219799,-0.028562000021338463,0.22722616605460644,0.15950159271201073,0.14931724974291014
2017-05-14 00:57:30,1494720000,3450,0.643252432346344,2.320857524871826,0.10790755599737167,2.4428892135620117,195.4913330078125,0.1544313281774521,0.15339496731758118,0.0626378059387207,-0.0045618037693202496,0.014182915911078453,-0.028618603944778442,0.18523205071687698,0.14576632523453356,0.13300638591715627
2017-05-14 01:02:30,1494720000,3750,0.6703447699546814,2.046621561050415,0.10180764645338058,2.1908857822418213,198.1355438232422,0.13184073567390442,0.19172397255897522,0.07603293657302856,-0.024355486035346985,0.0107305021956563,-0.044425882399082184,0.1997988224029541,0.16927768325266035,0.1524942776655704
